City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Santa Vitoria,24,Good,1,Good,5,Good,0,Good,24,Good
Santiago De Compostela,38,Good,1,Good,14,Good,6,Good,38,Good
Santo Estevao,61,Moderate,1,Good,5,Good,4,Good,61,Moderate
Sao Bento Do Una,32,Good,0,Good,10,Good,1,Good,32,Good
Prostejov,89,Moderate,1,Good,42,Good,2,Good,89,Moderate
Puerto El Triunfo,110,Unhealthy for Sensitive Groups,2,Good,34,Good,6,Good,110,Unhealthy for Sensitive Groups
Puerto Padre,48,Good,1,Good,25,Good,1,Good,48,Good
Puerto Vallarta,61,Moderate,2,Good,12,Good,2,Good,61,Moderate
Qandala,120,Unhealthy for Sensitive Groups,0,Good,20,Good,0,Good,120,Unhealthy for Sensitive Groups
Qorveh,87,Moderate,1,Good,59,Moderate,0,Good,87,Moderate
Radeberg,79,Moderate,1,Good,35,Good,2,Good,79,Moderate
Rakitnoye,41,Good,1,Good,41,Good,0,Good,13,Good
Ramanathapuram,54,Moderate,0,Good,30,Good,0,Good,54,Moderate
Olupona,84,Moderate,4,Good,16,Good,4,Good,84,Moderate
Orgun,84,Moderate,0,Good,37,Good,0,Good,84,Moderate
Orvieto,49,Good,1,Good,38,Good,4,Good,49,Good
Oyugis,90,Moderate,4,Good,32,Good,2,Good,90,Moderate
Pakokku,25,Good,0,Good,25,Good,0,Good,19,Good
Pakxe,29,Good,0,Good,19,Good,0,Good,29,Good
Phuthaditjhaba,59,Moderate,3,Good,14,Good,2,Good,59,Moderate
Piedras Negras,104,Unhealthy for Sensitive Groups,1,Good,27,Good,3,Good,104,Unhealthy for Sensitive Groups
Pimentel,28,Good,0,Good,22,Good,0,Good,28,Good
Piribebuy,22,Good,1,Good,9,Good,0,Good,22,Good
Pishin,102,Unhealthy for Sensitive Groups,0,Good,45,Good,0,Good,102,Unhealthy for Sensitive Groups
Plast,35,Good,1,Good,35,Good,0,Good,19,Good
Plauen,68,Moderate,1,Good,40,Good,1,Good,68,Moderate
Playa Del Carmen,52,Moderate,0,Good,28,Good,0,Good,52,Moderate
Pleasantville,79,Moderate,1,Good,67,Moderate,1,Good,79,Moderate
Polignano A Mare,56,Moderate,1,Good,48,Good,2,Good,56,Moderate
Pont Sainte Maxence,59,Moderate,1,Good,25,Good,3,Good,59,Moderate
Pontypridd,58,Moderate,1,Good,21,Good,4,Good,58,Moderate
Porirua,27,Good,0,Good,27,Good,0,Good,16,Good
Port Hedland,16,Good,0,Good,16,Good,0,Good,16,Good
Portsmouth,47,Good,1,Good,32,Good,5,Good,47,Good
Preganziol,64,Moderate,2,Good,32,Good,7,Good,64,Moderate
Prizren,56,Moderate,1,Good,41,Good,0,Good,56,Moderate
Rosemead,121,Unhealthy for Sensitive Groups,4,Good,6,Good,37,Good,121,Unhealthy for Sensitive Groups
Rusape,17,Good,1,Good,17,Good,0,Good,12,Good
Sabalgarh,233,Very Unhealthy,1,Good,48,Good,0,Good,233,Very Unhealthy
Sabanagrande,117,Unhealthy for Sensitive Groups,1,Good,16,Good,4,Good,117,Unhealthy for Sensitive Groups
Sadasivpet,75,Moderate,1,Good,25,Good,0,Good,75,Moderate
Safidon,150,Unhealthy,2,Good,132,Unhealthy for Sensitive Groups,1,Good,150,Unhealthy
Saginaw,32,Good,1,Good,25,Good,5,Good,32,Good
Saint Marc,76,Moderate,1,Good,32,Good,0,Good,76,Moderate
Saint Martin De Crau,151,Unhealthy,2,Good,22,Good,11,Good,151,Unhealthy
Saintes,42,Good,0,Good,42,Good,0,Good,13,Good
Salmon Creek,42,Good,1,Good,16,Good,10,Good,42,Good
Saltpond,39,Good,1,Good,23,Good,0,Good,39,Good
Samaniego,29,Good,1,Good,5,Good,2,Good,29,Good
Panihati,172,Unhealthy,5,Good,103,Unhealthy for Sensitive Groups,6,Good,172,Unhealthy
Papparapatti,50,Good,0,Good,23,Good,1,Good,50,Good
Parlakimidi,77,Moderate,1,Good,38,Good,1,Good,77,Moderate
Paso De Carrasco,50,Good,0,Good,17,Good,1,Good,50,Good
Patrasaer,150,Unhealthy,3,Good,143,Unhealthy for Sensitive Groups,2,Good,150,Unhealthy
Perrysburg,30,Good,1,Good,30,Good,6,Good,29,Good
Petaluma,38,Good,1,Good,38,Good,2,Good,26,Good
Phenix City,55,Moderate,2,Good,31,Good,4,Good,55,Moderate
Reeuwijk,33,Good,0,Good,33,Good,2,Good,17,Good
Regen,53,Moderate,1,Good,45,Good,2,Good,53,Moderate
Renala Khurd,166,Unhealthy,2,Good,133,Unhealthy for Sensitive Groups,1,Good,166,Unhealthy
Rheden,30,Good,1,Good,30,Good,2,Good,19,Good
Ribnitz Damgarten,34,Good,0,Good,34,Good,0,Good,13,Good
Riemst,39,Good,1,Good,31,Good,3,Good,39,Good
Riga,54,Moderate,1,Good,28,Good,2,Good,54,Moderate
Rimouski,32,Good,1,Good,22,Good,1,Good,32,Good
Riviere Pilote,137,Unhealthy for Sensitive Groups,1,Good,26,Good,0,Good,137,Unhealthy for Sensitive Groups
Robertsonpet,55,Moderate,0,Good,22,Good,0,Good,55,Moderate
Rodniki,33,Good,1,Good,33,Good,0,Good,22,Good
Rognac,148,Unhealthy for Sensitive Groups,1,Good,25,Good,12,Good,148,Unhealthy for Sensitive Groups
Ramona,56,Moderate,2,Good,11,Good,15,Good,56,Moderate
Rampur,174,Unhealthy,4,Good,174,Unhealthy,1,Good,162,Unhealthy
Rastatt,44,Good,1,Good,35,Good,4,Good,44,Good
Raxaul,122,Unhealthy for Sensitive Groups,3,Good,122,Unhealthy for Sensitive Groups,0,Good,114,Unhealthy for Sensitive Groups
Red Deer,32,Good,1,Good,32,Good,0,Good,9,Good
Nongpoh,134,Unhealthy for Sensitive Groups,2,Good,47,Good,1,Good,134,Unhealthy for Sensitive Groups
Norristown,59,Moderate,1,Good,45,Good,4,Good,59,Moderate
North Adams,42,Good,1,Good,42,Good,1,Good,35,Good
North Saint Paul,44,Good,1,Good,33,Good,7,Good,44,Good
Norwell,68,Moderate,1,Good,44,Good,5,Good,68,Moderate
Nossa Senhora Da Gloria,32,Good,0,Good,9,Good,2,Good,32,Good
Nova Esperanca,21,Good,0,Good,18,Good,1,Good,21,Good
Novi,48,Good,1,Good,29,Good,6,Good,48,Good
Novomikhaylovskiy,49,Good,1,Good,49,Good,1,Good,20,Good
Novospasskoye,48,Good,0,Good,34,Good,0,Good,48,Good
Ntungamo,160,Unhealthy,5,Good,23,Good,1,Good,160,Unhealthy
Numata,38,Good,1,Good,38,Good,1,Good,28,Good
Nyborg,36,Good,0,Good,36,Good,1,Good,35,Good
Nysa,32,Good,1,Good,30,Good,1,Good,32,Good
Odienne,44,Good,1,Good,15,Good,0,Good,44,Good
Okemos,46,Good,1,Good,30,Good,5,Good,46,Good
Okha,151,Unhealthy,0,Good,27,Good,0,Good,151,Unhealthy
Olen,38,Good,1,Good,30,Good,3,Good,38,Good
Karnobat,41,Good,1,Good,41,Good,0,Good,23,Good
Kastamonu,41,Good,1,Good,41,Good,0,Good,25,Good
Kedougou,29,Good,1,Good,15,Good,0,Good,29,Good
Kelaniya,58,Moderate,0,Good,27,Good,0,Good,58,Moderate
Khambhaliya,151,Unhealthy,0,Good,29,Good,0,Good,151,Unhealthy
Khao Yoi,36,Good,0,Good,17,Good,0,Good,36,Good
Kamyaran,127,Unhealthy for Sensitive Groups,1,Good,43,Good,0,Good,127,Unhealthy for Sensitive Groups
Kandalaksha,27,Good,1,Good,27,Good,0,Good,6,Good
Kangayam,53,Moderate,0,Good,25,Good,0,Good,53,Moderate
Kanungu,176,Unhealthy,5,Good,19,Good,1,Good,176,Unhealthy
Karacabey,39,Good,1,Good,39,Good,0,Good,32,Good
Karatu,20,Good,0,Good,14,Good,0,Good,20,Good
Karlskoga,28,Good,0,Good,28,Good,0,Good,10,Good
Katpadi,57,Moderate,0,Good,27,Good,0,Good,57,Moderate
Katras,183,Unhealthy,3,Good,132,Unhealthy for Sensitive Groups,2,Good,183,Unhealthy
